District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Achievement First Bridgeport Academy District,2850013,548,542,14219,0.513,0.446,0.019,0.009,0.045,2021-22,Fairfield,Suburban
Achievement First Hartford Academy District,2880013,516,514,15747,0.749,0.22,0,0,0.016,2021-22,Hartford,Urban
Amistad Academy District,2790013,543,538,14184,0.603,0.355,0.013,0,0.019,2021-22,New Haven,Urban
Andover School District,10011,82,82,22832,0,0.127,0.838,0,0,2021-22,Tolland,Suburban
Ansonia School District,20011,1070,1063,18865,0.208,0.464,0.253,0.021,0,2021-22,New Haven,Urban
Area Cooperative Educational Services,2440014,1127,1110,49216,0.334,0.328,0.255,0.022,0.056,2021-22,New Haven,Suburban
Ashford School District,30011,222,221,24046,0.022,0.087,0.829,0.022,0.041,2021-22,Windham,Suburban
Avon School District,40011,1452,1451,20828,0.055,0.078,0.631,0.189,0.044,2021-22,Hartford,Urban
Barkhamsted School District,50011,105,105,22595,0,0,0.895,0,0.057,2021-22,Litchfield,Suburban
Berlin School District,70011,1158,1152,21295,0.027,0.123,0.779,0.04,0.029,2021-22,Hartford,Urban
Bethany School District,80011,244,243,18782,0.023,0.086,0.788,0.084,0,2021-22,New Haven,Suburban
Bethel School District,90011,1436,1435,18533,0.044,0.248,0.58,0.074,0.037,2021-22,Fairfield,Suburban
Bloomfield School District,110011,764,762,22782,0.674,0.166,0.088,0.022,0.045,2021-22,Hartford,Suburban
Bolton School District,120011,314,310,20685,0.054,0.102,0.774,0.019,0.05,2021-22,Tolland,Suburban
Booker T. Washington Academy District,2950013,270,269,14570,0.818,0.153,0,0,0.018,2021-22,New Haven,Urban
Bozrah School District,130011,95,95,26390,0,0.153,0.753,0,0.076,2021-22,New London,Suburban
Branford School District,140011,1148,1147,23954,0.039,0.158,0.683,0.065,0.053,2021-22,New Haven,Suburban
Brass City Charter School District,2900013,213,212,16231,0.328,0.525,0.05,0.033,0.064,2021-22,New Haven,Urban
Bridgeport School District,150011,8511,8491,18565,0.291,0.574,0.089,0.02,0.019,2021-22,Fairfield,Suburban
Bristol School District,170011,3351,3331,19999,0.076,0.367,0.466,0.033,0.057,2021-22,Hartford,Urban
Brookfield School District,180011,1101,1094,20222,0.029,0.155,0.722,0.074,0.012,2021-22,Fairfield,Suburban
Brooklyn School District,190011,540,540,17977,0,0.114,0.791,0.021,0.053,2021-22,Windham,Suburban
Canaan School District,210011,46,46,35047,0,0,0.889,0,0,2021-22,Litchfield,Suburban
Canterbury School District,220011,285,285,18889,0,0.11,0.863,0,0.021,2021-22,Windham,Suburban
Canton School District,230011,681,679,20770,0.066,0.079,0.802,0,0.029,2021-22,Hartford,Urban
Capital Preparatory Harbor School District,2970013,373,373,14059,0.671,0.311,0,0,0,2021-22,Bridgeport ,Suburban
Capitol Region Education Council,2410014,3491,3453,27713,0.31,0.427,0.157,0.048,0.056,2021-22,Hartford,Urban
Chaplin School District,240011,71,71,26865,0,0.083,0.826,0,0.049,2021-22,Windham,Suburban
Cheshire School District,250011,1840,1836,19658,0,0.059,0.901,0,0,2021-22,New Haven,Urban
Chester School District,260011,124,124,24162,0,0.059,0.901,0,0,2021-22,Middlesex,Suburban
Clinton School District,270011,609,608,24251,0,0.222,0.715,0.033,0.019,2021-22,Middlesex,Suburban
Colchester School District,280011,912,912,19832,0.019,0.09,0.819,0.02,0.049,2021-22,New London,Suburban
Colebrook School District,290011,50,50,31759,0,0,0.931,0,0,2021-22,Litchfield,Suburban
Columbia School District,300011,299,297,19937,0,0.108,0.838,0,0.037,2021-22,Tolland,Suburban
Cooperative Educational Services,2430014,287,287,20125,0.224,0.4,0.275,0.045,0.05,2021-22,Fairfield,Suburban
Cornwall School District,310011,56,56,33824,0,0.074,0.83,0.064,0,2021-22,Litchfield,Suburban
Coventry School District,320011,712,712,18031,0.008,0.079,0.861,0.011,0.037,2021-22,Tolland,Suburban
Cromwell School District,330011,913,905,19213,0.066,0.133,0.686,0.058,0.053,2021-22,Middlesex,Suburban
Danbury School District,340011,5418,5407,16742,0.066,0.623,0.225,0.049,0.034,2021-22,Fairfield,Suburban
Darien School District,350011,2113,2110,24553,0.007,0.071,0.813,0.062,0.046,2021-22,Fairfield,Suburban
Deep River School District,360011,112,112,28602,0,0.115,0.839,0,0,2021-22,Middlesex,Suburban
Derby School District,370011,575,574,23291,0.201,0.411,0.304,0,0.063,2021-22,New Haven,Suburban
East Granby School District,400011,390,389,22261,0.078,0.066,0.742,0.071,0.042,2021-22,Hartford,Suburban
